,True Values,Predicted Values,Loss Evaluation,Features
0,63066.86,63777.555,112.38533782958984,volume
1,63000.5,63742.16,,RSI
2,62946.8,63673.57,,MACD
3,62991.9,63661.703,,MACD_Signal
4,62935.0,63624.63,,MACD_History
5,62916.1,63626.37,,MOM
6,62867.49,63683.594,,MFI
7,62851.58,63735.02,,ROC
8,62922.62,63691.63,,OBV
9,62925.04,63669.42,,ATR
10,62959.31,63640.305,,
11,63002.48,63583.688,,
12,63013.02,63525.45,,
13,63116.53,63480.887,,
14,63088.66,63462.62,,
15,63123.84,63450.49,,
16,63062.93,63442.945,,
17,63098.32,63455.367,,
18,63035.27,63471.32,,
19,63103.73,63514.664,,
20,63057.09,63547.48,,
21,63209.15,63542.96,,
22,63141.23,63504.18,,
23,63116.49,63469.023,,
24,63170.13,63453.02,,
25,63182.32,63460.18,,
26,63263.68,63465.74,,
27,63140.2,63465.758,,
28,63136.31,63459.043,,
29,63184.32,63422.227,,
30,63187.53,63442.457,,
31,63168.8,63480.363,,
32,63166.37,63547.305,,
33,63163.46,63530.953,,
34,63108.25,63509.402,,
35,63069.39,63552.957,,
36,63181.13,63609.45,,
37,63043.0,63618.098,,
38,63018.78,63647.996,,
39,63014.27,63721.734,,
40,62968.95,63745.32,,
41,62996.83,63741.293,,
42,63052.68,63827.11,,
43,62936.97,63800.48,,
44,63016.74,63737.883,,
45,62969.43,63727.75,,
46,62920.04,63700.77,,
47,62935.09,63720.285,,
48,63006.05,63796.58,,
49,63062.75,63762.94,,
50,63094.45,63705.867,,
51,63080.17,63649.11,,
52,62857.94,63550.56,,
53,62819.93,63532.188,,
54,62832.33,63624.34,,
55,62835.68,63782.64,,
56,62860.3,63933.555,,
57,62861.98,64016.242,,
58,62804.97,63852.098,,
59,62841.22,63753.363,,
60,62824.95,63751.96,,
61,62753.91,63773.492,,
62,62800.95,63810.492,,
63,62665.72,63831.113,,
64,62673.0,63836.71,,
65,62755.39,63881.562,,
66,62786.41,63904.906,,
67,62717.56,63835.703,,
68,62789.26,63795.145,,
69,62834.93,63714.777,,
70,62856.95,63668.344,,
71,62909.31,63658.6,,
72,62928.51,63654.58,,
73,62904.4,63580.15,,
74,62920.46,63525.457,,
75,62937.19,63529.344,,
76,62878.57,63527.133,,
77,62941.9,63555.344,,
78,62918.51,63599.934,,
79,62939.86,63586.742,,
80,62943.56,63572.723,,
81,62893.29,63573.79,,
82,62966.36,63546.754,,
83,62924.58,63548.918,,
84,62869.21,63573.926,,
85,62903.92,63620.562,,
86,62862.16,63654.188,,
