,True Values,Predicted Values,Loss Evaluation
0,66567.61,65650.02,0.0029795097652822733
1,66347.37,65603.29,
2,66415.54,65757.79,
3,66238.34,65750.48,
4,66144.32,65581.09,
5,66279.5,65844.5,
6,66319.64,65959.33,
7,66357.27,65999.2,
8,66214.25,65819.09,
9,66266.16,65803.16,
10,66268.99,65958.3,
11,66286.09,65906.9,
12,66260.09,65876.38,
13,66212.13,65848.734,
14,66185.72,65811.69,
15,66305.89,66064.64,
16,66340.33,66026.75,
17,66071.03,65776.13,
18,66118.25,65874.49,
19,66157.15,65963.39,
20,66046.28,65830.96,
21,65760.21,65731.92,
22,65737.75,65711.12,
23,65643.27,65713.02,
24,65698.92,65884.87,
25,65589.82,65810.516,
26,65496.68,65694.71,
27,65437.28,65683.984,
28,65542.86,65912.95,
29,65484.48,65870.484,
30,65402.88,65727.5,
31,65308.49,65740.766,
32,65489.15,65965.2,
33,65631.63,66130.336,
34,65614.36,65970.35,
35,65622.97,66009.8,
36,65693.01,66127.2,
37,65766.25,66164.16,
38,65718.75,65982.96,
39,65640.85,65972.805,
40,66102.43,66266.56,
41,66181.6,66308.75,
42,66151.05,66102.66,
43,66218.67,66116.234,
44,66297.87,66253.62,
45,66314.59,66264.53,
46,66278.75,66107.914,
47,66205.86,65952.016,
48,66250.21,66028.09,
49,65987.92,65922.59,
50,66183.6,66080.02,
51,66155.39,66177.84,
52,66260.34,66208.21,
53,66164.77,66051.71,
54,66209.11,65978.36,
55,66049.88,65915.99,
56,66002.39,65874.33,
57,65947.0,65868.06,
58,65781.45,65820.086,
59,65782.76,65848.94,
