,True Values,Predicted Values,Loss Evaluation,Features
0,59183.15,59212.527,0.3655511736869812,open
1,59282.78,59188.58,,volume
2,59547.4,59181.258,,SMA
3,59126.0,59215.195,,KAMA
4,58997.76,59244.44,,BBAND_upper
5,58898.15,59230.184,,BBAND_middle
6,58945.52,59167.535,,BBAND_lower
7,58824.3,59068.88,,RSI
8,58829.45,58931.99,,MACD
9,58845.23,58843.69,,MACD_Signal
10,58739.05,58818.125,,MACD_History
11,58756.95,58804.098,,MOM
12,58855.51,58794.945,,MFI
13,58932.68,58794.875,,ROC
14,58837.98,58818.324,,OBV
15,59069.64,58835.996,,ATR
16,59118.91,58874.848,,
17,59284.27,58932.883,,
18,59327.03,59014.023,,
19,59375.83,59102.68,,
20,59243.74,59234.055,,
21,59338.79,59319.79,,
22,59369.11,59379.027,,
23,59216.88,59434.707,,
24,59264.77,59457.645,,
25,59176.94,59451.2,,
26,59131.11,59431.863,,
