,True Values,Predicted Values,Loss Evaluation,Features
0,58945.52,59188.867,0.722148597240448,low
1,58824.3,59236.24,,high
2,58829.45,59268.4,,open
3,58845.23,59269.52,,volume
4,58739.05,59273.2,,SMA
5,58756.95,59264.926,,WMA
6,58855.51,59247.87,,EMA
7,58932.68,59251.38,,KAMA
8,58837.98,59257.137,,BBAND_upper
9,59069.64,59251.902,,BBAND_middle
10,59118.91,59248.836,,BBAND_lower
11,59284.27,59251.695,,RSI
12,59327.03,59255.52,,MACD
13,59375.83,59257.445,,MACD_Signal
14,59243.74,59257.047,,MACD_History
15,59338.79,59251.375,,MOM
16,59369.11,59246.11,,MFI
17,59216.88,59243.984,,ROC
18,59264.77,59238.473,,OBV
19,59176.94,59174.32,,ATR
20,59131.11,59211.137,,
21,59105.34,59208.605,,
22,59175.7,59203.98,,
23,59184.1,59201.316,,
24,59180.13,59201.477,,
25,59108.35,59200.418,,
26,59309.43,59198.53,,
